,character name,Appearances,Minor Appearances,Mentions,Total Appearances (Full and Minor),Appearances and Mentions (Full + Minor + Mentions)
875,William Lonestar,3,1,11,4,15
1096,Mick Mortensen,3,0,0,3,3
880,Demon Bear,3,2,3,5,8
876,Peg Lonestar,3,2,12,5,17
1602,Theodore Winchester,3,0,0,3,3
884,Thunderiders,3,0,1,3,4
1098,Alaric (Asgardian),3,0,0,3,3
863,Cr'reee (War Skrull),3,0,0,3,3
564,Alexander Power,3,0,0,3,3
862,Christopher Summers (War Skrull),3,0,0,3,3
1615,Pico Halfghanaghan,3,0,0,3,3
1111,Heather Tucker,3,0,0,3,3
1060,Takeshi Matsuya,3,0,0,3,3
861,Hepzibah (War Skrull),3,0,0,3,3
860,Ch'od (War Skrull),3,0,0,3,3
859,Raza Longknife (War Skrull),3,0,0,3,3
858,Skrull Prime,3,0,0,3,3
576,Tyrone Johnson,3,2,2,5,7
1097,Rolfe,3,0,0,3,3
1357,William (Earth-1193),3,0,0,3,3
885,"Winthrop Roan, Jr.",3,0,0,3,3
886,Luke Merriweather,3,0,0,3,3
964,Dane Whitman,3,0,0,3,3
1596,Eileen Harsaw,3,0,1,3,4
1078,Krista,3,0,0,3,3
1582,Simon Williams,3,0,0,3,3
1559,Phoebe Huntsman,3,0,0,3,3
1610,Crule,3,0,1,3,4
1061,Inferno Babies,3,0,4,3,7
1368,Katherine Pryde (Earth-1193),3,0,0,3,3
1613,Yeti (Weapon P.R.I.M.E.),3,0,0,3,3
963,Hercules Panhellenios,3,0,1,3,4
1362,Numbers (Earth-TRN301),3,0,0,3,3
930,Max Rocker,3,0,0,3,3
929,Ivich Williamson,3,0,0,3,3
477,Naze,3,0,0,3,3
578,Michael Bowen,3,0,1,3,4
925,Cyndi (Legion Personality),3,0,0,3,3
924,Jemail Karami,3,0,1,3,4
1614,Tigerstryke (Mitchell),3,0,0,3,3
1055,Crotus,3,0,0,3,3
887,Wolf (Thunderiders),3,0,0,3,3
1093,Karnilla,3,0,2,3,5
577,Tandy Bowen,3,2,2,5,7
1343,Wilbur Griswald (Earth-99476),3,0,0,3,3
856,Manacle (Deathbird),3,0,0,3,3
855,Avengers West Coast,3,0,1,3,4
657,Ben Locklin,3,0,0,3,3
1275,Foxbat,3,0,0,3,3
1247,Coral (Ravens),3,0,0,3,3
791,Freddie Stanachek,3,0,0,3,3
1246,Ravens,3,0,0,3,3
1242,Mole (Morlock),3,0,0,3,3
1233,Ziran,3,0,0,3,3
782,Mandarin,3,0,1,3,4
690,Josey Thomas,3,0,0,3,3
691,Brood Mutants,3,0,0,3,3
692,Temptress (Brood Mutants),3,0,0,3,3
694,Dive-Bomber,3,0,0,3,3
695,Lockup,3,0,0,3,3
1143,Externals,3,0,4,3,7
697,Robert Delgado,3,0,0,3,3
698,Whiphand,3,0,0,3,3
699,Blindside (Brood),3,0,0,3,3
700,Harry Palmer,3,0,0,3,3
764,Worm (Savage Land Mutate),3,0,0,3,3
